Model_Type,Model_Name,RMSE,MAE,MAPE
naive_baseline,last_period,196968.52506268336,152279.9135,34.69303222318361
naive_baseline,moving_avg_3,199567.7554831161,154796.45694444442,35.03165219311046
naive_baseline,seasonal_naive,196968.52506268336,152279.9135,34.69303222318361
XGBoost,RMSE,202349.99547137014,,
XGBoost,MAE,159804.652875,,
XGBoost,MAPE,36.33987883587897,,
RandomForest,RMSE,198956.4695902597,,
RandomForest,MAE,154149.6816483333,,
RandomForest,MAPE,34.800936675671885,,
SARIMA,RMSE,218137.64617570315,,
SARIMA,MAE,176114.47625060275,,
SARIMA,MAPE,48.06096114084259,,
Prophet,RMSE,2857165.1509122835,,
Prophet,MAE,2384191.934383376,,
Prophet,MAPE,628.4205667543305,,
